Nom_eBird;Nom_eBird2;Nom_Birdlife;Comment
Megascops.centralis;Megascops.guatemalae;Megascops.guatemalae;
Pica.serica;Pica.pica;Pica.pica;
Anas.diazi;Anas.fulvigula;Anas.fulvigula;
Automolus.exsertus;Automolus.ochrolaemus;Automolus.ochrolaemus;
Chaetura.viridipennis;Chaetura.chapmani;Chaetura.chapmani;
Myrmothera.subcanescens;Myrmothera.campanisona;Myrmothera.campanisona;
Lepidocolaptes.layardi;Lepidocolaptes.fuscicapillus;Lepidocolaptes.fuscicapillus;
Hylopezus.whittakeri;Hylopezus.macularius;Hylopezus.macularius;
Neomorphus.squamiger;Neomorphus.geoffroyi;Neomorphus.geoffroyi;
Hylopezus.paraensis;Hylopezus.macularius;Hylopezus.macularius;
Campylopterus.calcirupicola;Campylopterus.largipennis;Campylopterus.largipennis;
Basileuterus.tacarcunae;Basileuterus.tristriatus;Basileuterus.tristriatus;
Polioptila.clementsi;Polioptila.guianensis;Polioptila.guianensis;
Aphelocoma.woodhouseii;Aphelocoma.californica;Aphelocoma.californica;
Haematopus.bachmani;Haematopus.ater;Haematopus.ater;
Picoides.dorsalis;Picoides.tridactylus;Picoides.tridactylus;
Anser.serrirostris;Anser.fabalis;Anser.fabalis;
Acanthis.hornemanni;Acanthis.flammea;Acanthis.flammea;
Aphelocoma.insularis;Aphelocoma.californica;Aphelocoma.californica;
Loxia.sinesciuris;Loxia.curvirostra;Loxia.curvirostra;
Megascops.roraimae;Megascops.vermiculatus;Megascops.vermiculatus;
Thamnistes.rufescens;Thamnistes.aequatorialis;Thamnistes.aequatorialis;
Megascops.gilesi;Megascops.gilesi;Megascops.gilesi;New.species.2019ok
Myrmoderus.eowilsoni;Myrmoderus.eowilsoni;Myrmoderus.eowilsoni;New.species.2019ok
Machaeropterus.eckelberryi;Machaeropterus.eckelberryi;Machaeropterus.eckelberryi;New.species.2019ok
Dryocopus.lineatus;Hylatomus.lineatus;Hylatomus.lineatus;
Chlorothraupis.carmioli;Habia.carmioli;Habia.carmioli;
Stymphalornis.acutirostris;Formicivora.acutirostris;Formicivora.acutirostris;
Amaurospiza.concolor;Amaurospiza.moesta;Amaurospiza.moesta;
Melopyrrha.nigra;Pyrrhulagra.nigra;Pyrrhulagra.nigra;
Streptopelia.chinensis;Spilopelia.chinensis;Spilopelia.chinensis;
