"Name_eBird","Names_Birdlife","nb_spc"
"Eriocnemis.luciani","Eriocnemis.luciani Eriocnemis.sapphiropygia",2
"Eubucco.richardsoni","Eubucco.aurantiicollis Eubucco.richardsoni",2
"Eubucco.versicolor","Eubucco.glaucogularis Eubucco.steerii Eubucco.versicolor",3
"Euphonia.musica","Euphonia.flavifrons Euphonia.musica Euphonia.sclateri",3
"Eupsittula.nana","Eupsittula.astec Eupsittula.nana",2
"Euscarthmus.meloryphus","Euscarthmus.fulviceps Euscarthmus.meloryphus",2
"Falcipennis.canadensis","Falcipennis.canadensis Falcipennis.franklinii",2
"Formicarius.analis","Formicarius.analis Formicarius.moniliger",2
"Formicivora.grisea","Formicivora.grisea Formicivora.intermedia",2
"Forpus.xanthopterygius","Forpus.spengeli Forpus.xanthopterygius",2
"Furnarius.leucopus","Furnarius.cinnamomeus Furnarius.leucopus Furnarius.longirostris",3
"Galbula.albirostris","Galbula.albirostris Galbula.chalcocephala",2
"Gelochelidon.nilotica","Gelochelidon.nilotica",1
"Geothlypis.aequinoctialis","Geothlypis.aequinoctialis Geothlypis.auricularis",2
"Geothlypis.semiflava","Geothlypis.bairdi Geothlypis.chiriquensis Geothlypis.semiflava",3
"Glaucidium.brasilianum","Glaucidium.brasilianum Glaucidium.tucumanum",2
"Glaucidium.gnoma","Glaucidium.californicum Glaucidium.cobanense Glaucidium.gnoma Glaucidium.hoskinsii",4
"Grallaria.quitensis","Grallaria.alticola Grallaria.atuensis Grallaria.quitensis",3
"Grallaria.rufula","Grallaria.rufula Grallaria.saltuensis",2
"Granatellus.pelzelni","Granatellus.paraensis Granatellus.pelzelni",2
"Granatellus.venustus","Granatellus.venustus",1
"Gygis.alba","Gygis.alba",1
"Heliangelus.amethysticollis","Heliangelus.amethysticollis Heliangelus.clarisse Heliangelus.spencei",3
"Heliodoxa.schreibersii","Heliodoxa.schreibersii Heliodoxa.whitelyana",2
"Herpsilochmus.rufimarginatus","Herpsilochmus.rufimarginatus Herpsilochmus.scapularis",2
"Hirundinea.ferruginea","Hirundinea.bellicosa Hirundinea.ferruginea",2
"Hylophilus.flavipes","Hylophilus.flavipes Hylophilus.insularis Hylophilus.viridiflavus",3
"Hylophilus.thoracicus","Hylophilus.griseiventris Hylophilus.thoracicus",2
"Hypnelus.ruficollis","Hypnelus.bicinctus Hypnelus.ruficollis",2
"Icterus.cayanensis","Icterus.cayanensis Icterus.chrysocephalus",2
"Icterus.spurius","Icterus.fuertesi Icterus.spurius",2
"Kleinothraupis.atropileus","Kleinothraupis.atropileus Kleinothraupis.auricularis",2
"Knipolegus.aterrimus","Knipolegus.aterrimus Knipolegus.heterogyna",2
"Knipolegus.orenocensis","Knipolegus.orenocensis Knipolegus.sclateri",2
"Lampornis.castaneoventris","Lampornis.castaneoventris Lampornis.cinereicauda",2
"Laniisoma.elegans","Laniisoma.buckleyi Laniisoma.elegans",2
"Larus.argentatus","Larus.smithsonianus",1
"Laterallus.jamaicensis","Laterallus.jamaicensis Laterallus.tuerosi",2
"Lepidocolaptes.affinis","Lepidocolaptes.affinis Lepidocolaptes.neglectus",2
"Leptasthenura.aegithaloides","Leptasthenura.aegithaloides Leptasthenura.berlepschi Leptasthenura.pallida",3
"Leptopogon.superciliaris","Leptopogon.albidiventer Leptopogon.superciliaris",2
"Leptotila.plumbeiceps","Leptotila.battyi Leptotila.plumbeiceps",2
"Lophornis.chalybeus","Lophornis.chalybeus Lophornis.verreauxii",2
"Malacoptila.striata","Malacoptila.minor Malacoptila.striata",2
"Megascops.guatemalae","Megascops.guatemalae",1
"Megascops.ingens","Megascops.colombianus Megascops.ingens",2
"Melanitta.deglandi","Melanitta.deglandi",1
"Melozone.leucotis","Melozone.leucotis Melozone.occipitalis",2
"Microspingus.torquatus","Microspingus.pectoralis Microspingus.torquatus",2
"Mionectes.macconnelli","Mionectes.macconnelli Mionectes.roraimae",2
"Mionectes.olivaceus","Mionectes.galbinus Mionectes.olivaceus",2
"Molothrus.aeneus","Molothrus.aeneus Molothrus.armenti",2
"Muscisaxicola.rufivertex","Muscisaxicola.occipitalis Muscisaxicola.rufivertex",2
"Myioborus.ornatus","Myioborus.chrysops Myioborus.ornatus",2
"Myiodynastes.maculatus","Myiodynastes.maculatus Myiodynastes.solitarius",2
"Myiopagis.caniceps","Myiopagis.caniceps Myiopagis.cinerea Myiopagis.parambae",3
"Myiophobus.fasciatus","Myiophobus.crypterythrus Myiophobus.fasciatus Myiophobus.rufescens",3
"Myiopsitta.monachus","Myiopsitta.luchsi Myiopsitta.monachus",2
"Myiothlypis.bivittata","Myiothlypis.bivittata Myiothlypis.roraimae",2
"Myiothlypis.chrysogaster","Myiothlypis.chlorophrys Myiothlypis.chrysogaster",2
"Myiothlypis.luteoviridis","Myiothlypis.euophrys Myiothlypis.luteoviridis Myiothlypis.striaticeps",3
"Myiothlypis.rivularis","Myiothlypis.mesoleuca Myiothlypis.rivularis",2
"Myiotriccus.ornatus","Myiotriccus.ornatus Myiotriccus.phoenicurus",2
"Myrmornis.torquata","Myrmornis.stictoptera Myrmornis.torquata",2
"Myrmotherula.axillaris","Myrmotherula.axillaris Myrmotherula.luctuosa",2
"Notharchus.tectus","Notharchus.subtectus Notharchus.tectus",2
"Ochthoeca.cinnamomeiventris","Ochthoeca.cinnamomeiventris Ochthoeca.nigrita Ochthoeca.thoracica",3
"Ochthoeca.fumicolor","Ochthoeca.fumicolor Ochthoeca.superciliosa",2
"Oenanthe.oenanthe","Oenanthe.oenanthe",1
"Onychorhynchus.coronatus","Onychorhynchus.coronatus Onychorhynchus.mexicanus Onychorhynchus.occidentalis Onychorhynchus.swainsoni",4
"Oreonympha.nobilis","Oreonympha.albolimbata Oreonympha.nobilis",2
"Oreotrochilus.estella","Oreotrochilus.estella Oreotrochilus.stolzmanni",2
"Ortalis.guttata","Ortalis.guttata",1
"Pachyramphus.major","Pachyramphus.major Pachyramphus.uropygialis",2
"Pachyramphus.viridis","Pachyramphus.griseigularis Pachyramphus.viridis Pachyramphus.xanthogenys",3
"Passerculus.sandwichensis","Passerculus.guttatus Passerculus.rostratus Passerculus.sandwichensis",3
"Passerella.iliaca","Passerella.iliaca Passerella.megarhyncha Passerella.schistacea Passerella.unalaschcensis",4
"Patagioenas.fasciata","Patagioenas.albilinea Patagioenas.fasciata",2
"Patagioenas.maculosa","Patagioenas.albipennis Patagioenas.maculosa",2
"Phacellodomus.rufifrons","Phacellodomus.inornatus Phacellodomus.rufifrons",2
"Phaeomyias.murina","Phaeomyias.murina Phaeomyias.tumbezana",2
"Phaethornis.griseogularis","Phaethornis.griseogularis Phaethornis.porcullae",2
"Phaethornis.longirostris","Phaethornis.baroni Phaethornis.longirostris",2
"Phasianus.colchicus","Phasianus.colchicus",1
"Pheugopedius.euophrys","Pheugopedius.euophrys Pheugopedius.schulenbergi",2
"Pheugopedius.sclateri","Pheugopedius.columbianus Pheugopedius.paucimaculatus Pheugopedius.sclateri",3
